Time,Sensor_A_Close,Sensor_B_Far,Bulb_Estimate
0,32.5,29.0,60.023160856437
10,33.0,29.2,61.60779207222866
20,34.0,29.5,62.58152806168304
30,35.0,29.8,63.41026402722944
40,36.0,30.0,64.16683862292663
50,37.5,30.5,65.08162118633093
60,38.5,30.8,65.98640496390317
70,39.5,31.0,66.86587473773854
80,40.0,31.2,67.66981293106511
90,40.2,31.3,68.35155279190536
100,40.5,31.5,68.98582290943675
110,40.3,31.5,69.45893073889694
120,40.2,31.6,69.85002152221246
130,40.0,31.5,70.10281101610036
140,39.8,31.4,70.24661164871209
150,39.5,31.3,70.29155176294086
160,39.2,31.2,70.25827139512624
170,39.0,31.2,70.20640121069195
180,38.8,31.1,70.10920227014752
190,38.5,31.1,69.99392702486195
200,38.3,31.0,69.84647683792431
210,38.0,31.0,69.69136683150015
220,37.8,30.9,69.51233925911428
230,37.5,30.9,69.33219556419087
240,37.3,30.8,69.13332267916321
250,37.0,30.8,68.93744627054468
260,36.8,30.8,68.75668965164574
270,36.6,30.7,68.55732968024107
280,36.5,30.7,68.38655615412299
290,36.3,30.7,68.22569736217517
300,36.2,30.6,68.05485470737798
310,36.0,30.6,67.89394099545865
320,35.9,30.5,67.72305474730608
330,35.8,30.5,67.574851423514
340,35.7,30.5,67.4446284182284
350,35.6,30.5,67.32865807042903
360,35.5,30.4,67.1933975610962
370,35.4,30.4,67.07343407089725
380,35.3,30.4,66.96559624311325
390,35.2,30.4,66.86737020277373
400,35.1,30.3,66.74617527489224
410,35.0,30.3,66.6373613074773
420,34.9,30.3,66.5383614983277
430,34.9,30.3,66.4598861796392
440,34.8,30.2,66.35434728340437
450,34.8,30.2,66.2706885511195
460,34.7,30.2,66.1916288316281
470,34.7,30.2,66.12895965327044
480,34.6,30.2,66.06653796520168
490,34.6,30.2,66.01705744681442
500,34.5,30.1,65.93450219283545
510,34.5,30.1,65.86906216887468
520,34.5,30.1,65.81718907140733
530,34.5,30.1,65.77607022581351
540,34.5,30.1,65.74347607690906
550,34.5,30.1,65.71763929750854
560,34.5,30.1,65.69715896001757
570,34.5,30.0,65.65033660213224
580,34.5,30.0,65.61322138445155
590,34.5,30.0,65.58380083739453
600,34.5,30.0,65.56047971352073
