Time,Middle_Heat_Source,Air_Tube_Output
0,32.5,29.0
10,33.0,29.2
20,34.0,29.5
30,35.0,29.8
40,36.0,30.0
50,37.5,30.5
60,38.5,30.8
70,39.5,31.0
80,40.0,31.2
90,40.2,31.3
100,40.5,31.5
110,40.3,31.5
120,40.2,31.6
130,40.0,31.5
140,39.8,31.4
150,39.5,31.3
160,39.2,31.2
170,39.0,31.2
180,38.8,31.1
190,38.5,31.1
200,38.3,31.0
210,38.0,31.0
220,37.8,30.9
230,37.5,30.9
240,37.3,30.8
250,37.0,30.8
260,36.8,30.8
270,36.6,30.7
280,36.5,30.7
290,36.3,30.7
300,36.2,30.6
310,36.0,30.6
320,35.9,30.5
330,35.8,30.5
340,35.7,30.5
350,35.6,30.5
360,35.5,30.4
370,35.4,30.4
380,35.3,30.4
390,35.2,30.4
400,35.1,30.3
410,35.0,30.3
420,34.9,30.3
430,34.9,30.3
440,34.8,30.2
450,34.8,30.2
460,34.7,30.2
470,34.7,30.2
480,34.6,30.2
490,34.6,30.2
500,34.5,30.1
510,34.5,30.1
520,34.5,30.1
530,34.5,30.1
540,34.5,30.1
550,34.5,30.1
560,34.5,30.1
570,34.5,30.0
580,34.5,30.0
590,34.5,30.0
600,34.5,30.0
